[S] 1/20/20 7:05:52 PM: [SYSTEM] | program.cs | Token fetched from file.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Initiating Birthday Check.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Guild Simmo's Server selected.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | [Simmo's Server || QuickReferenceSheet] >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | sirlordbob#9611>> Comparing: 13 March // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | sirlordbob#9611 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Gene#3854>> Comparing: 1 November // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Gene#3854 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Frostedfox2#9632>> Comparing: 22 September // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Frostedfox2#9632 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | CheCheBiscut#3466>> Comparing: 8 November // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | CheCheBiscut#3466 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Chai#8371>> Comparing: 6 January // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Chai#8371 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | pumpkin#3303>> Comparing: 10 May // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | pumpkin#3303 >> Does not seem like a date. Probably a user.
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Headass UwU#2419>> Comparing: 19 October // to 20 January... NOPE
[I] 1/20/20 7:06:02 PM: [SYSTEM] | program.cs | Headass UwU#2419 >> Does not seem like a date. Probably a user.
